Dat;Region_ID;FD_ID;Umsatz
2022-01-22;91;3;131280,98
2022-01-22;92;3;23309,35
2022-01-22;94;3;177357,07
2022-01-23;01;3;309575,83
2022-01-23;02;5;5886376,14
2022-01-23;03;8;56471,24
2022-01-23;04;7;125905,64
2022-01-23;05;4;232311,65
2022-01-23;06;4;34430,89
2022-01-23;07;4;245554,02
2022-01-23;08;3;58249,96
2022-01-23;09;4;247750,61
2022-01-23;10;2;389113,55
2022-01-23;11;2;767154,55
2022-01-23;12;5;218861,66
2022-01-23;13;5;706623,84
2022-01-23;14;8;114463,33
2022-01-23;15;4;825928,47
2022-01-23;16;5;6393361,6
2022-01-23;17;7;66116,71
2022-01-23;18;5;2315815,94
2022-01-23;19;7;294272,69
2022-01-23;20;4;41499,68
2022-01-23;21;5;618951,89
2022-01-23;22;7;1622578,02
2022-01-23;23;3;13743125,6
2022-01-23;24;7;2867518,39
2022-01-23;25;8;2865427,22
2022-01-23;26;4;5293125,39
2022-01-23;27;8;336076,91
2022-01-23;28;8;31118,24
2022-01-23;29;2;560393
2022-01-23;30;3;6221897,01
2022-01-23;31;1;5560851,93
2022-01-23;32;1;1381431,32
2022-01-23;33;1;1015980,9
2022-01-23;34;3;2457684,54
2022-01-23;35;2;1053073,39
2022-01-23;36;1;4582731,46
2022-01-23;37;1;612039,06
2022-01-23;38;7;1722037,47
2022-01-23;39;2;530871,08
2022-01-23;40;1;2965042,81
2022-01-23;41;8;4937,06
2022-01-23;42;7;1438352,31
2022-01-23;43;5;739504,46
2022-01-23;44;1;772393,25
2022-01-23;45;6;660942,2
2022-01-23;46;1;913559,3
